wavelength flux
5162.23400097704 81.51815
5164.843185148999 51.321503
5167.452369320958 50.27671
5170.061553492917 57.36819
5172.670737664876 63.4051
5175.279921836835 57.667576
5177.8891060087935 71.649994
5180.4982901807525 61.351044
5183.1074743527115 45.36598
5185.7166585246705 55.389267
5188.3258426966295 55.91122
5190.9350268685885 42.473076
5193.544211040547 79.45188
5196.153395212506 130.91823
5198.762579384465 132.93335
5201.371763556424 124.63679
5203.980947728383 85.77494
5206.590131900342 59.594322
5209.199316072301 57.76359
5211.80850024426 61.859047
5214.417684416219 50.743973
5217.026868588178 51.106453
5219.636052760137 60.44158
5222.245236932096 59.5779
5224.854421104054 78.70434
5227.463605276013 44.340813
5230.072789447972 58.39478
5232.681973619931 62.019695
5235.29115779189 31.877111
5237.900341963849 63.869736
5240.509526135808 34.366077
5243.118710307767 63.243694
5245.727894479726 50.567398
5248.337078651685 56.480858
5250.946262823644 32.10873
5253.555446995603 62.547787
5256.164631167562 68.82296
5258.773815339521 72.64953
5261.38299951148 69.76953
5263.992183683439 32.89985
5266.601367855398 52.733746
5269.210552027357 43.72215
5271.819736199316 59.361923
5274.428920371275 60.741325
5277.038104543234 48.360992
5279.647288715193 48.01038
5282.256472887152 67.238014
5284.865657059111 58.818092
5287.47484123107 65.531685
5290.084025403029 54.86492
5292.693209574988 62.120003
5295.302393746947 65.71276
5297.911577918906 46.984135
5300.520762090865 50.740803
5303.129946262824 58.307014
5305.739130434782 49.867016
5308.348314606741 59.19358
5310.9574987787 66.723526
5313.566682950659 55.526978
5316.175867122618 59.03316
5318.785051294577 41.81561
5321.394235466536 64.81432
5324.003419638495 65.287735
5326.612603810454 50.758286
5329.221787982413 59.255363
5331.830972154372 46.224957
5334.440156326331 55.57308
5337.04934049829 70.668564
5339.658524670249 57.54237
5342.267708842208 46.754726
5344.876893014167 36.17831
5347.486077186126 55.906532
5350.095261358085 49.054314
5352.704445530044 59.59684
5355.313629702003 48.262302
5357.922813873962 48.056778
5360.531998045921 46.139732
5363.14118221788 57.612892
5365.750366389839 58.221176
5368.359550561798 46.470108
5370.968734733757 42.233326
5373.577918905716 51.775097
5376.187103077675 52.3036
5378.796287249634 50.809544
5381.405471421593 41.60677
5384.014655593552 57.677235
5386.623839765511 48.98464
5389.23302393747 52.645535
5391.842208109429 49.668335
